name,pos,salary,team,fpts,e_fpts,fpts/$,e_fpts/$,value,fpts-1k
Jarrett Stidham,QB,4900,DEN,15.76,7.12,3.22,1.45,1.06,3.22
Sam Howell,QB,5200,WAS,15.54,6.98,2.99,1.34,-0.06,2.99
Geno Smith,QB,6100,SEA,17.24,9.36,2.83,1.53,-1.06,2.83
Kyler Murray,QB,6400,ARI,17.32,8.39,2.71,1.31,-1.88,2.71
Aidan O'Connell,QB,5400,LV,14.17,6.81,2.62,1.26,-2.03,2.62
Justin Fields,QB,7200,CHI,19.04,9.06,2.64,1.26,-2.56,2.64
Tyrod Taylor,QB,5300,NYG,12.68,7.07,2.39,1.33,-3.22,2.39
Jordan Love,QB,6600,GB,16.46,9.33,2.49,1.41,-3.34,2.49
Noah Fant,TE,2900,SEA,4.95,2.52,1.71,0.87,-3.75,1.71
Austin Hooper,TE,2700,LV,4.25,1.98,1.57,0.73,-3.85,1.57
Logan Thomas,TE,3200,WAS,4.95,2.82,1.55,0.88,-4.65,1.55
Jaxon Smith-Njigba,WR,4800,SEA,8.95,4.38,1.86,0.91,-5.45,1.86
Tre Tucker,WR,3400,LV,4.4,2.46,1.29,0.72,-5.8,1.29
Wan'Dale Robinson,WR,4200,NYG,6.75,3.86,1.61,0.92,-5.85,1.61
Michael Wilson,WR,4400,ARI,7.25,3.64,1.65,0.83,-5.95,1.65
Tucker Kraft,TE,3700,GB,5.15,3.0,1.39,0.81,-5.95,1.39
Dak Prescott,QB,8000,DAL,18.04,10.35,2.26,1.29,-5.96,2.26
Terry McLaurin,WR,5500,WAS,10.4,5.33,1.89,0.97,-6.1,1.89
Michael Gallup,WR,3200,DAL,3.45,1.88,1.08,0.59,-6.15,1.08
Dontayvion Wicks,WR,4600,GB,7.45,3.82,1.62,0.83,-6.35,1.62
Tyler Scott,WR,3400,CHI,3.45,1.92,1.01,0.56,-6.75,1.01
Darren Waller,TE,4700,NYG,7.35,3.98,1.56,0.85,-6.75,1.56
Zamir White,RB,6000,LV,11.2,5.62,1.87,0.94,-6.8,1.87
Greg Dortch,WR,4600,ARI,6.95,3.49,1.51,0.76,-6.85,1.51
Rondale Moore,WR,3900,ARI,4.85,2.67,1.24,0.68,-6.85,1.24
John Bates,TE,2500,WAS,0.65,0.35,0.26,0.14,-6.85,0.26
Trey McBride,TE,6000,ARI,10.95,5.87,1.82,0.98,-7.05,1.82
Tyler Lockett,WR,5600,SEA,9.55,5.04,1.71,0.9,-7.25,1.71
Jake Ferguson,TE,4900,DAL,7.45,4.19,1.52,0.86,-7.25,1.52
Darius Slayton,WR,4000,NYG,4.55,2.38,1.14,0.6,-7.45,1.14
Jalin Hyatt,WR,3300,NYG,2.35,1.23,0.71,0.37,-7.55,0.71
James Conner,RB,6100,ARI,10.7,5.38,1.75,0.88,-7.6,1.75
Jayden Reed,WR,5700,GB,9.25,4.81,1.62,0.84,-7.85,1.62
Equanimeous St,WR,3000,CHI,1.05,0.56,0.35,0.19,-7.95,0.35
Aaron Jones,RB,6300,GB,10.9,5.98,1.73,0.95,-8.0,1.73
Jakobi Meyers,WR,5400,LV,7.95,4.51,1.47,0.84,-8.25,1.47
Jerry Jeudy,WR,5100,DEN,6.95,3.32,1.36,0.65,-8.35,1.36
Christian Watson,WR,4700,GB,5.75,3.12,1.22,0.66,-8.35,1.22
Tony Pollard,RB,6500,DAL,10.9,5.9,1.68,0.91,-8.6,1.68
DJ Moore,WR,7000,CHI,12.35,6.15,1.76,0.88,-8.65,1.76
Saquon Barkley,RB,6900,NYG,11.9,5.89,1.72,0.85,-8.8,1.72
Easton Stick,QB,5000,LAC,6.0,2.22,1.2,0.44,-9.0,1.2
DK Metcalf,WR,7200,SEA,12.55,6.26,1.74,0.87,-9.05,1.74
Brandin Cooks,WR,5200,DAL,6.55,3.75,1.26,0.72,-9.05,1.26
Kenneth Walker,RB,6500,SEA,10.2,5.05,1.57,0.78,-9.3,1.57
Curtis Samuel,WR,4300,WAS,3.35,1.75,0.78,0.41,-9.55,0.78
Javonte Williams,RB,5300,DEN,5.8,3.04,1.09,0.57,-10.1,1.09
Davante Adams,WR,7900,LV,13.55,6.73,1.72,0.85,-10.15,1.72
Romeo Doubs,WR,5800,GB,7.15,3.55,1.23,0.61,-10.25,1.23
Khalil Herbert,RB,5700,CHI,6.8,3.55,1.19,0.62,-10.3,1.19
Antonio Gibson,RB,4800,WAS,3.95,2.01,0.82,0.42,-10.45,0.82
Cole Kmet,TE,4500,CHI,2.95,1.58,0.66,0.35,-10.55,0.66
Brian Robinson,RB,5400,WAS,5.4,2.85,1.0,0.53,-10.8,1.0
Zach Charbonnet,RB,5000,SEA,3.7,1.94,0.74,0.39,-11.3,0.74
Rico Dowdle,RB,4600,DAL,2.35,1.23,0.51,0.27,-11.45,0.51
Courtland Sutton,WR,6400,DEN,7.65,3.92,1.2,0.61,-11.55,1.2
CeeDee Lamb,WR,9300,DAL,16.05,8.86,1.73,0.95,-11.85,1.73
Travis Kelce,TE,6600,KC,2.15,1.13,0.33,0.17,-17.65,0.33
